	exact	exact tag	aligned	aligned tag	unmatched	fraction_matched
50.0	0.00484027105517909	0.008712487899322363	0.02032913843175218	0.03581800580832527	0.9303000968054211	0.0696999031945789
55.0	0.01483924154987634	0.00741962077493817	0.03297609233305853	0.057708161582852434	0.8870568837592745	0.11294311624072548
60.0	0.016055045871559634	0.0191131498470948	0.05733944954128441	0.077217125382263	0.8302752293577982	0.16972477064220184
65.0	0.030456852791878174	0.02030456852791878	0.07741116751269035	0.09961928934010152	0.7722081218274112	0.22779187817258884
70.0	0.05509478672985782	0.027251184834123223	0.10071090047393365	0.12559241706161137	0.691350710900474	0.30864928909952605
75.0	0.07858328721638075	0.03763143331488655	0.12562257885998893	0.1549529607083564	0.6032097399003874	0.3967902600996126
80.0	0.10595677385345283	0.04638903531892462	0.1591987348444913	0.17026884554559832	0.518186610437533	0.481813389562467
85.0	0.14016840019811788	0.06934125804853888	0.15552253590886578	0.1896978702327885	0.4452699356116889	0.5547300643883111
90.0	0.19545104086353124	0.05705474171164225	0.1545875096376253	0.14263685427910563	0.4502698535080956	0.5497301464919044
95.0	0.22701475595913734	0.02345819144911086	0.1835035944003027	0.11577752553916004	0.45024593265228907	0.549754067347711
